"Professor_ID","Professor_Name","Role","University","Department","Previous_Education_1_Programme","Previous_Education_1_Institution","Previous_Education_1_Year","Previous_Education_2_Programme","Previous_Education_2_Institution","Previous_Education_2_Year","Previous_Education_3_Programme","Previous_Education_3_Institution","Previous_Education_3_Year","Previous_Education_4_Programme","Previous_Education_4_Institution","Previous_Education_4_Year","Previous_Education_5_Programme","Previous_Education_5_Institution","Previous_Education_5_Year","Total_Publications"
344694,"Dr R.Karthiga  Rani","Assistant Professor","Nadar Saraswathi College of Arts and Science, Theni","undefined","Ph.D","Alagappa University, Karaikudi",2021,"M.Phil","Manonmaniam Sundaranar University, Tirunelveli",2009,"M.A","Arumugam Pillai Seethai Ammal College,Thirupathur",2006,"SET","",2006,"B.B.E","Arumugam Pillai Seethai Ammal College,Thirupathur",2004,
439561,"Dr RASMITA NAYAK","Assistant Professor (Grade-I)","Institute of Management, Nirma University","Department of Management","Ph.D","IIT Kharagpur",2023,,,,,,,,,,,,,
219376,"Dr RM Meyyammai","Assistant Professor","Annamalai University","Department of Economics",,,,,,,,,,,,,,,,
374218,"Dr Rabia Khatun","Assistant Professor","SVKMs Narsee Monjee College of Commerce and Economics","Department of Economics","PhD","SVKMs Narsee Monjee College of Commerce and Economics",2004,,,,,,,,,,,,,
451736,"Dr Radha  Raghuramapatruni","Associate Professor","GITAM Institute of Foreign Trade","GSB","MBA","Annamalai University",2020,"PGDFT","Annamalai University",2017,"PhD","Andhra University",2008,"MA Economics","Andhra University",2002,,,,59
309867,"Dr Radha M","Associate Professor","Sri GVG Visalakshi College for Women","Economics","Ph.D","Sri GVG Visalakshi College for Women",2012,,,,,,,,,,,,,
44665,"Dr Radhakumari Challa ","Associate Professor","Sri Satya Sai Institute of Higher Learning, Anantpur","Department of Commerce and Management","Ph. D.","Sri Krishnadevaraya university Department of commerce, Anantapur (AP).",1987,,,,,,,,,,,,,
285117,"Dr Radhika G","Associate Professor","Ethiraj College for Women, Chennai","Department of Economics","PhD","",,,,,,,,,,,,,,
310475,"Dr Rajalakshmi V","Assistant Professor","M V Muthiah Government Arts College for Women, Dindigul","Department of Economics","PhD","Madurai Kamaraj University",2017,,,,,,,,,,,,,
165861,"Dr Rajani Bora","Professor","Jodhpur Institute of Engineering and Technology","Department of Humanities and Social Sciences","Ph.D","Jai Narain Vyas University, Jodhpur",2020,"Master of Financial Analysis and Control","Jai Narain Vyas University, Jodhpur",2008,"Bachelor of Business Administration","Mahila P.G. Mahavidhyalaya",2006,,,,,,,5
96930,"Dr Rajeshwari Ur","Associate Professor","Christ University","Department of Economics","Ph.D","Karnatak University",2009,,,,,,,,,,,,,13
114932,"Dr Rajeswari M","Assistant Professor","Annamalai University","Department of Economics","Ph.D","Gandhigram Rural University, Dindigul, Tamil Nadu",2005,,,,,,,,,,,,,
95644,"Dr Rajeswari Sengupta ","Associate Professor","Indira Gandhi Institute of Development Research","IGIDR","Ph.D.","University of California",2011,,,,,,,,,,,,,35
444511,"Dr Rajimol M S","Associate Professor","N. M. S. M. College, Puzhamuttil, Kalpetta","Economics","Ph D","Kannur University, Kerala",2019,,,,,,,,,,,,,2
336905,"Dr Rajni Mudgal","Assistant Professor","Banasthali Vidyapith","Department of Journalism and Mass Communication","PhD","GJU(Hissar)",2022,,,,,,,,,,,,,
260915,"Dr Rakesh Singh","Associate Professor","Himachal Pradesh University","Department of Economics","Ph.D","Himachal Pradesh University",2006,,,,,,,,,,,,,5
56748,"Dr Rakhee Bhattacharya","Associate Professor","Jawaharlal Nehru University","Special Centre for the Study of North East India","Ph.D","",1998,,,,,,,,,,,,,12
155756,"Dr Rama Pal","Associate Professor","Indian Institute of Technology Bombay","Department of Humanities and Social Sciences","Ph.D","Indira Gandhi Institute of Development Research",2010,,,,,,,,,,,,,7
213708,"Dr Ramabai A P","Assistant Professor","Sri Meenakshi Government Arts College for Women, Madurai","Department of Economics","PhD","Madurai Kamaraj University, Madurai",2007,,,,,,,,,,,,,
229759,"Dr Ramappagari Leshma Manogna","Assistant Professor","Birla Institute of Technology and Science, Pilani","Department of Economics and Finance","Ph.D","Birla Instittute Of Technology and Science,Pilani",,,,,,,,,,,,,,30
113363,"Dr Ramna Thakur","Associate Professor","Indian Institute of Technology Mandi","School of Humanities and Social Sciences","Ph.D","Himachal Pradesh University",,,,,,,,,,,,,,25
332798,"Dr Rashi K","Assistant Professor","Loyola College, Chennai","Economics","Ph.D","Guru Nanak College (Autonomous)",2014,,,,,,,,,,,,,
27576,"Dr Rashmi Agrawal","Professor","University of Delhi","Department of Business Economics","Ph.D","",,,,,,,,,,,,,,1
226356,"Dr Rashmi Priyadarshini","Associate Professor","Chhatrapati Shahu Ji Maharaj University","Department of Economics","Ph.D","IGNOU DELHI",2019,,,,,,,,,,,,,
397028,"Dr Rashmi Subbiah","Associate Professor","Ethiraj College for Women, Chennai","Department of Economics","PhD","",,,,,,,,,,,,,,
216435,"Dr Ratna Bhuyan","Assistant Professor","National Institute of Rural Development and Panchayati Raj","North-Eastern Regional Centre, Guwahati","Pragya (HINDI)","Department of Official Language, Ministry of Home affairs, GoI",2013,"Ph.D","Gauhati University",2012,"Praveen (HINDI)","Department of Official Language, Ministry of Home affairs, GoI",2012,"B. Ed.","Gauhati University",2003,"MASTER DEGREE","Gauhati University",2000,35
236035,"Dr Rebecca Devaprasad","Assistant Professor","Stella Maris College","Economics","Ph.D","Stella Maris College",1999,,,,,,,,,,,,,
114450,"Prof Reena Bhasin","Professor","Panjab University, Chandigarh","University School of Open Learning","Ph.D","Panjab University, Chandigarh",,,,,,,,,,,,,,
133066,"Dr Reena Dogra","Assistant Professor","Amity University, Noida","Amity School of Economics (Noida)","PhD","",,,,,,,,,,,,,,
262209,"Dr Reena Dogra","Assistant Professor","Himachal Pradesh University","Department of Economics","Ph.D","Himachal Pradesh University",2015,,,,,,,,,,,,,5
138516,"Dr Reeta  Chouhan","Assistant Professor","St Aloysius Evening College","Department of Economics","PhD","",,,,,,,,,,,,,,
173251,"Dr Reeta Chouhan","Head of the Department","St. Aloysius College, Jabalpur","Department of Economics","Ph.D","Rani Durgawati University, Jabalpur",2009,,,,,,,,,,,,,11
